Macrotema,Participante,Pergunta,Resposta,Códigos Iniciais
3. Perguntas gerais sobre o jogo,20250607_1653,O que você achou da experiência?,"Ah, pra mim foi uma experiência nova, né? Então, por isso que achei bom.",experiência nova
3. Perguntas gerais sobre o jogo,20250607_1653,O que chamou a sua atenção assim que você começou a jogar?,"Ah, eu fiquei bem confuso com os controles, né?",controles confusos
3. Perguntas gerais sobre o jogo,20250607_1653,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?","Sim, claro. No mar, no oceano, num aquário",ambiente compreendido
3. Perguntas gerais sobre o jogo,20250607_1653,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"Os peixes, as tartarugas...",fauna marinha como indicador
3. Perguntas gerais sobre o jogo,20250607_1653,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,Sim.,trilha sonora coerente
3. Perguntas gerais sobre o jogo,20250607_1653,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,"Sim, paz.",sensação de relaxamento
3. Perguntas gerais sobre o jogo,20250607_1728,O que você achou da experiência?,Confusa. É porque não estava conseguindo manejar os controles.,controles confusos
3. Perguntas gerais sobre o jogo,20250607_1728,O que chamou a sua atenção assim que você começou a jogar?,Submarino. Peixes.,"fauna marinha como indicador, submarino como indicador"
3. Perguntas gerais sobre o jogo,20250607_1728,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?",No mar.,mar como indicador
3. Perguntas gerais sobre o jogo,20250607_1728,Que elementos visuais te fizeram perceber que você estava nesse cenário?,Tartarugas. Peixes. O som te ajudou também as borbolinhas.,fauna marinha como indicador
3. Perguntas gerais sobre o jogo,20250607_1728,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,Sim.,trilha sonora coerente
3. Perguntas gerais sobre o jogo,20250607_1728,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,Relaxar.,sensação de relaxamento
3. Perguntas gerais sobre o jogo,20250607_1903,O que você achou da experiência?,"Achei maneiro. Interessante. Eu nunca tinha usado o óculos, então foi uma coisa bem diferente. Mas eu me senti um pouco esse idoso confuso com a tecnologia, sabe? Que é todo mundo diferente. Mas é bem maneiro.","experiência positiva, experiência nova, experiência confusa"
3. Perguntas gerais sobre o jogo,20250607_1903,O que chamou a sua atenção assim que você começou a jogar?,"Caraca, é o fato de... De não ver nada ao redor. Só ver o jogo mesmo. Por mais que eu virasse muito assim, só tem o jogo.",imersão
3. Perguntas gerais sobre o jogo,20250607_1903,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?",Sim. Como se fosse um submarino.,submarino como indicador
3. Perguntas gerais sobre o jogo,20250607_1903,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"A parte da mecânica, né, parece um bracinho de robô e por aqui está também dentro da água, né, no fundo do mar.","mar como indicador, submarino como indicador"
3. Perguntas gerais sobre o jogo,20250607_1903,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,"Sim. De fundo do mar, de aguinha... Entendi. O bolhazinhas.",trilha sonora coerente
3. Perguntas gerais sobre o jogo,20250607_1903,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,"No começo eu fiquei um pouco aflita, a musiquinha rolando e eu tava tentando entender um pouco os comandos, aí eu fiquei um pouco aflita, mas depois ela foi acalmando.",sensação de desconforto
3. Perguntas gerais sobre o jogo,20250607_1941,O que você achou da experiência?,"Bem legal, bem legal. Acho que tava... bastante imersivo. Alguns momentos pareceia de fato um submarino.","experiência positiva, imersão, submarino como indicador"
3. Perguntas gerais sobre o jogo,20250607_1941,O que chamou a sua atenção assim que você começou a jogar?,"E o conjunto assim, a sincronia do som e tal. Acho que todo o contexto também no fim do mar, acho que isso deixou interessante. Essas coisas estavam bem sincronizadas.","atenção ao som, mar como indicador, fauna marinha como indicador"
3. Perguntas gerais sobre o jogo,20250607_1941,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?",Sim. Tava num... Uma zona no fundo do mar que tinha uma espécie de... Exploração ali.,mar como indicador
3. Perguntas gerais sobre o jogo,20250607_1941,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"Tinha meio que umas máquinas assim, no fundo",elementos de náufragio como indicador
3. Perguntas gerais sobre o jogo,20250607_1941,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,"Sim. Tá bem fluido, assim, bem sincronizado.",sincronia do som
3. Perguntas gerais sobre o jogo,20250607_1941,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,"Tinha a sensação de tranquilidade. Passar a imagem que... Tu teria no fundo d'água, né?",sensação de relaxamento
3. Perguntas gerais sobre o jogo,20250607_2206,O que você achou da experiência?,"Cara, achei o gráfico legal. Deu pra emergir. Deu pra emergir bem, assim, pra você. A tartaruga é mó bonita e tudo mais. Mas eu achei algumas experiências um pouco bugadas. Primeiro, tem uma hora que a garra sumiu. Aí eu fiquei meio confuso, porque cadê a garra e tal. Acho que eu desregulei lá da parada. Teve também, acho que o mapa não deixa muito claro, se eu tô de frente pro peixe, se eu tô atrás do peixe, aí eu ficava meio confuso. E eu não... Pelo menos eu não consegui ver o peixe brilhando, tá ligado? Algumas horas. Eu falei, caralho, aí tem umas horas que você enjoa, você não vê ele muito tempo. Se ela tá longe de você, você não se enxerga no mapa? Fica meio caralho, o que eu vou fazer? Nenhum peixe tá brilhando, eu vou acertar e pegar qualquer coisa, tá ligado?","experiência positiva, imersão, fauna marinha como indicador, experiência confusa, tédio"
3. Perguntas gerais sobre o jogo,20250607_2206,O que chamou a sua atenção assim que você começou a jogar?,"Cara, chamou a atenção, acho que, no começo, o ambiente, né? Tipo, realmente, o gráfico legal, você viu os petinhos, tava o Baía de Guanabara, pô, daqui da região. Pô, maneiro, tipo, interessante.","atenção aos elementos visuais, fauna marinha como indicador, baia de guanabara"
3. Perguntas gerais sobre o jogo,20250607_2206,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?","Entendi que eu tava na Baía de Guanabara, embaixo d'água ali, com o submarino.","ambiente compreendido, baia de guanabara, mar como indicador"
3. Perguntas gerais sobre o jogo,20250607_2206,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"Os peixes, principalmente.",fauna marinha como indicador
3. Perguntas gerais sobre o jogo,20250607_2206,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,"Acredito que sim. A trilha, se você ficar meio perdido no jogo, pode ficar meio repetitivo, eu acho. Tipo, meio enjoativa, sabe? Porque você não tá achando o jogo, ele tá meio puto procurando o peixe e não tá achando. E aí, a musiquinha fica incomodando. Mas no começo eu achei agradável.","trilha sonora coerente, trilha sonora repetitiva"
3. Perguntas gerais sobre o jogo,20250607_2206,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,"Cara, traz a sensação de um joguinho, de relaxar, sabe? Aquelas músicas que você joga pra um jogo de rolê.",sensação de relaxamento
3. Perguntas gerais sobre o jogo,20250608_1448,O que você achou da experiência?,"Tranquilo. Divertidinho, bonito e divertido, mas relaxante.","sensação de relaxamento, experiência divertida"
3. Perguntas gerais sobre o jogo,20250608_1448,O que chamou a sua atenção assim que você começou a jogar?,O visual do jogo. Achei bonito. Passa uma tranquilidade.,sensação de relaxamento
3. Perguntas gerais sobre o jogo,20250608_1448,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?","Sim, foi no mar, mas quando a instituição falou da Baia da Guanabara, deu uma localizada.","ambiente compreendido, baia de guanabara, mar como indicador"
3. Perguntas gerais sobre o jogo,20250608_1448,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"Ah, uns peixes, água. Ah, tive barulhinho de água mesmo.",fauna marinha como indicador
3. Perguntas gerais sobre o jogo,20250608_1448,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,Sim,trilha sonora coerente
3. Perguntas gerais sobre o jogo,20250608_1448,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,Tranquilidade.,sensação de relaxamento
3. Perguntas gerais sobre o jogo,20250608_1520,O que você achou da experiência?,"Achei muito maneiro. Porque é muito diferente você jogar um jogo e ter, como posso dizer, essa imersão de você mexer o braço e pegar, e você olhar pro lado e tipo, o movimento dos seus braços. O movimento dos seus braços importar, e da sua mão importar, do seu olho importar, tudo importa. É muito diferente você pegar um controle normal e só apertar botão. É muito diferente, até porque os braços são individuais, que tem a função da garrinha, acho que por isso que eu achei maneiro, que você parece estar bem dentro do jogo mesmo.","experiência positiva, experiência nova, imersão"
3. Perguntas gerais sobre o jogo,20250608_1520,O que chamou a sua atenção assim que você começou a jogar?,"Eu tava tentando entender primeiro, mas eu achei maneiro. Tipo, pra mim o que eu achei mais legal e o que me deixou mais... Achei mais interessante foi a garrinha mexer de acordo com o meu braço mexe. que parecia que eu mesma tava ali, entendeu? Porque, tipo, se fosse só o óculos... O óculos, ok, eu tô olhando no universo. Seria só o óculos, mas não, o controlezinho também faz a gente se sentir mais dentro.","atenção aos controles, imersão"
3. Perguntas gerais sobre o jogo,20250608_1520,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?",Sim. Oceano,"ambiente compreendido, mar como indicador"
3. Perguntas gerais sobre o jogo,20250608_1520,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"Os peixes, a água, cor azul. ","fauna marinha como indicador, cor como identificador"
3. Perguntas gerais sobre o jogo,20250608_1520,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,"Sim. Ah, tinha, tinha uma... uma musiquinha de... que parece quando a gente tá debaixo da água.","trilha sonora coerente, imersão"
3. Perguntas gerais sobre o jogo,20250608_1520,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,Não.,não relacionado
3. Perguntas gerais sobre o jogo,20250609_2048,O que você achou da experiência?,"Divertido. Foi maneiro. Que... VR, né? Legal, era o barquinho embaixo d'água. Nunca... As vezes que eu joguei VR eu não joguei barquinho embaixo d'água. Achei... Achei maneiro. Achei legal. Achei... Diferente. Inteligente. Tipo, literalmente eu jogaria uma porra num jogo assim. Principalmente porque eu... Tipo, quando você se move... Sabe jogo, tipo, sei lá, que você anda? Que você se move andando? Eu fico muito tonto. Mas isso como faz sentido, tipo, você tá dando negócio, eu não fiquei tonto, mexendo nada. Daria pra jogar por muito tempo, assim, tipo... É um jogo de tio, tá ligado? Jogo relaxanate.","experiência positiva, experiência nova, experiência divertida, elementos de náufragio como indicador, sensação de relaxamento"
3. Perguntas gerais sobre o jogo,20250609_2048,O que chamou a sua atenção assim que você começou a jogar?,"É... Cara, chamou minha atenção? Não sei... o jogo ia ser ideia, eu não falei ideia que ia ser isso, embaixo d'água assim, com um robô. O polimento... É bom o jogo, isso, né? Tá maneiro, tá bom. Foi a qualidade que chamou a atenção.",qualidade do jogo
3. Perguntas gerais sobre o jogo,20250609_2048,"Logo nos primeiros momentos do jogo, você entendeu em que tipo de ambiente estava? Se sim, qual?","Sim. Baia de Guanabara, embaixo dela.",baia de guanabara
3. Perguntas gerais sobre o jogo,20250609_2048,Que elementos visuais te fizeram perceber que você estava nesse cenário?,"Visual, eu não me toquei não, devia ter distraído. Eu ouvia da mulher falando. Mas visual, eu não me toquei de cara não, que era bem Guanabara ou não. A mulher falou que tava lá bem Guanabara.",baia de guanabara
3. Perguntas gerais sobre o jogo,20250609_2048,Você sentiu que a trilha sonora e os sons combinavam com a proposta do ambiente?,"Bom, pô, bolha, os caralho, não sei o que, sons de fundo, achei, achei. Achei 100%.",trilha sonora coerente
3. Perguntas gerais sobre o jogo,20250609_2048,A música de fundo e os sons ambientes transmitiram alguma sensação específica para você?,Aham. Tesão.,não relacionado
4. Controle e Navegação,20250607_1653,O que te fez entender como mover o submarino?,"As explicações, né, que ela deu",tutorial narrado
4. Controle e Navegação,20250607_1653,Como foi a sua experiência ao controlar o submarino?,Diferente,experiência nova
4. Controle e Navegação,20250607_1653,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?",No início. Só comecei a pilotar depois da explicação do jogo,"confusão inicial, entendimento por instrução"
4. Controle e Navegação,20250607_1653,Você sentiu que os controles respondiam bem aos seus comandos?,Sim.,controle positivo
4. Controle e Navegação,20250607_1653,Como você identificou no controle o responsável por movimentar o submarino?,Eu testei os botões até achar,descoberta por tentativa e erro
4. Controle e Navegação,20250607_1653,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?","Sim, no começo, porque eu não entendi. E para achar novamente, foi no tato né. Uma coisa que me chamou atenção, foi no início em que tinha um desenho que mostrava onde ficava a letra A.","gatilho perdido e recuperado, descoberta por tentativa e erro, instruções no painel"
4. Controle e Navegação,20250607_1728,O que te fez entender como mover o submarino?,Quando eu comecei a movimentar os controles.,descoberta por tentativa e erro
4. Controle e Navegação,20250607_1728,Como foi a sua experiência ao controlar o submarino?,Uma experiência diferente. Eu realmente achei que tava tendo controle de um submarino.,"experiência nova, imersão"
4. Controle e Navegação,20250607_1728,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?",Teve. Aquela quando eu mexia pro controle e o submarino ia junto.,não relacionado
4. Controle e Navegação,20250607_1728,Você sentiu que os controles respondiam bem aos seus comandos?,Às vezes.,não relacionado
4. Controle e Navegação,20250607_1728,Como você identificou no controle o responsável por movimentar o submarino?,Apertando os botões.,descoberta por tentativa e erro
4. Controle e Navegação,20250607_1728,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Teve. Em vários momentos. Achei eles novamente testando e apertando os botões.,descoberta por tentativa e erro
4. Controle e Navegação,20250607_1903,O que te fez entender como mover o submarino?,"Primeiro, né, na orientação, que apareceu sobre movimentação, rotação... Lá no início. E depois, testando do meio.","instruções no painel, descoberta por tentativa e erro"
4. Controle e Navegação,20250607_1903,Como foi a sua experiência ao controlar o submarino?,"Foi tranquilo. É um pouco confuso, assim, a rotação para poder se guiar pelo mapa que eu achei, porque eu não entendia muito bem para onde que o submarino estava virado pelo mapa, mas depois acabou acontecendo, assim, foi.",confusão ou dificuldade
4. Controle e Navegação,20250607_1903,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Sim, nessa parte de não saber exatamente pra onde ele tava virado, porque pelo mapa, os peixinhos tão passando ao redor do submarino, mas eu não consegui identificar o certo se ele tava passando muito na minha frente ou ao redor, pra trás. Parecia que o submarino ele só movia, mas o peixe não, sabe? Parece que ele virava assim todo dia. Eu só fiquei procurando peixe e teve uma hora que ele ficou com a bordinha colorida e aí eu sabia que tava de frente pra ele, entendi, eu não soube como resolver.",dificuldade com o radar
4. Controle e Navegação,20250607_1903,Você sentiu que os controles respondiam bem aos seus comandos?,Sim.,controle positivo
4. Controle e Navegação,20250607_1903,Como você identificou no controle o responsável por movimentar o submarino?,Testando e por eu já ter visto a orientação na parte inicial.,"descoberta por tentativa e erro, instruções no painel"
4. Controle e Navegação,20250607_1903,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?","Perdi, teve uma hora que eu esqueci qual era o comando e aí eu tive que testar qual era, se era o de cima ou se era o lateral.","gatilho perdido e recuperado, descoberta por tentativa e erro"
4. Controle e Navegação,20250607_1941,O que te fez entender como mover o submarino?,"Ah, acho que a experiência espelha mesmo. Um iogo, assim.",experiência prévia
4. Controle e Navegação,20250607_1941,Como foi a sua experiência ao controlar o submarino?,"Não foi tão boa, senti falta de alguns controles. Girar em alguns eixos. Mas no geral, tudo bem.",faltou controles
4. Controle e Navegação,20250607_1941,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Acho que... mais por cima de falta desse movimento, mas... É contornado, né? Virar, como se fosse um... No mesmo eixo, sabe? E eu, tipo, ia girar e assim... Aham. Assim... O outro meio que subia e descia. Dei uma volta, assim, no eixo, mais que leve. Ok.",faltou controles
4. Controle e Navegação,20250607_1941,Você sentiu que os controles respondiam bem aos seus comandos?,"Sim. O que eu senti um pouco foi na hora da captura do peixe. Ou garra passava, ou tava muito antes, sabe?","controle positivo, problema com as garras"
4. Controle e Navegação,20250607_1941,Como você identificou no controle o responsável por movimentar o submarino?,Acho que a experiência foi prévia.,experiência prévia
4. Controle e Navegação,20250607_1941,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Não.,gatilhode de fácil localização
4. Controle e Navegação,20250607_2206,O que te fez entender como mover o submarino?,"Acho que eu consegui entender melhor pra frente, pra trás, claro, pro outro, que é meio em dúvida na questão da profundidade, se eu conseguia subir ou descer, isso eu não entendi muito bem. Mas acho que o intuitivo ia ser esse movimento lateral, assim, pelo joystick. Talvez esse movimento da terceira dimensão ali, né, que pode ter ficado um pouco confuso ali, acho que demorei pra pegar. O que fica na mão direita ali.",confusão ou dificuldade
4. Controle e Navegação,20250607_2206,Como foi a sua experiência ao controlar o submarino?,"Cara, teve esse ponto da garra, né, que se perdeu em algum momento, isso incomodou. E o mapa incomodou bastante também, mas o profundidade, se poder ir pra frente, ver os bichinhos, achei tranquilo, achei legal.","dificuldade com o radar, problema com as garras, experiência positiva"
4. Controle e Navegação,20250607_2206,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Cara, não sabia movimentar, não sabia pra onde estava ele, não sabia movimentar o submarino.",confusão ou dificuldade
4. Controle e Navegação,20250607_2206,Você sentiu que os controles respondiam bem aos seus comandos?,Acredito que sim. Responderam bem.,controle positivo
4. Controle e Navegação,20250607_2206,Como você identificou no controle o responsável por movimentar o submarino?,"Acho que foi intuitivo. A movimentação, pelo menos a movimentação pra frente e pra trás, pro lado e pro outro. Não a de profundidade, eu acho que foi mais intuitivo.","intuitivo, problema com emergir e submergir"
4. Controle e Navegação,20250607_2206,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?","Ah, por movimentar o submarino, não.",gatilhode de fácil localização
4. Controle e Navegação,20250608_1448,O que te fez entender como mover o submarino?,"Então, no início tinha a instrução no painel falando pra mover os analógicos do controle.",instruções no painel
4. Controle e Navegação,20250608_1448,Como foi a sua experiência ao controlar o submarino?,"Teve um momento que parecia que tava bugado. Que eu olhei no... Tinha um mapa ali, que tava meio confuso também pra eu ver. E aí eu movi ele pra uma direção. E ele não tava num... O mapa tava indo pra outra. Aí depois ele meio que ajeitou. Eu também fiquei confusa qual era o... Do... Do submarino, qual que era a parte da frente e a de trás também. Fiquei confusa.","confusão ou dificuldade, dificuldade com o radar"
4. Controle e Navegação,20250608_1448,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Submarino não, mas eu não soube como iniciar o jogo. Porque não tinha nenhuma instrução sobre qual botão que eu tinha que apertar para iniciar o jogo. Só ia apertando o tecla botão.","não relacionado, problema para inicar o jogo"
4. Controle e Navegação,20250608_1448,Você sentiu que os controles respondiam bem aos seus comandos?,Exceto nessa vez que eu movimentei o submarino para uma direção e ele não foi.,confusão ou dificuldade
4. Controle e Navegação,20250608_1448,Como você identificou no controle o responsável por movimentar o submarino?,"Foi pela instrução. Ah, eu fui no tátil mesmo, de sentir qual era o botão da alavancazinha, aí movimentou.","entendimento por instrução, descoberta por tentativa e erro"
4. Controle e Navegação,20250608_1448,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Não.,gatilhode de fácil localização
4. Controle e Navegação,20250608_1520,O que te fez entender como mover o submarino?,"As regras... As regras ajudaram, porque eu demorei um pouquinho a entender como funciona. E os... Como posso explicar? Tinha um tutorial, né? Que me ajudou a entender pra que funcionam os botões. Aí eu consegui... E o analógico é meio intuitivo. Mesmo no analógico, mexe no submarino, mas... Os botõezinhos e as dicas do jogo.","instruções no painel, entendimento por instrução, intuitivo"
4. Controle e Navegação,20250608_1520,Como foi a sua experiência ao controlar o submarino?,Divertido. Eu adorei mesmo a garrinha do submarino. Pra mim foi a parte mais divertida.,experiência positiva
4. Controle e Navegação,20250608_1520,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Quando eu esqueci que o meu braço era a garrinha, mas o submarino em si, que mexia no analógico, não tive dificuldade.",gatilho perdido e recuperado
4. Controle e Navegação,20250608_1520,Você sentiu que os controles respondiam bem aos seus comandos?,Sim.,experiência positiva
4. Controle e Navegação,20250608_1520,Como você identificou no controle o responsável por movimentar o submarino?,"Era um analógico, foi intuitivo.","intuitivo, experiência prévia"
4. Controle e Navegação,20250608_1520,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Analógico? Não.,"experiência prévia, gatilhode de fácil localização"
4. Controle e Navegação,20250609_2048,O que te fez entender como mover o submarino?,"Eu sou gamer. Eu sou gamer. Era do jeito que era. Inclusive esse é o modo 3 do drone DJI. É o modo 3. O modo 2 é invertido. O modo 2 no lado do joystick esquerdo é cima, baixo e rotação. E o direita é assim. E o modo 3 é esse.",experiência prévia
4. Controle e Navegação,20250609_2048,Como foi a sua experiência ao controlar o submarino?,"Boa, boa. Boa intuitiva. Ele tem uma física assim, não é tipo... Não é travadão.",controle positivo
4. Controle e Navegação,20250609_2048,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Não, não houve.",não relacionado
4. Controle e Navegação,20250609_2048,Você sentiu que os controles respondiam bem aos seus comandos?,"Senti, senti. Se usasse os dois juntos, assim, como eu esperava, como esperava como gamer.",controle positivo
4. Controle e Navegação,20250609_2048,Como você identificou no controle o responsável por movimentar o submarino?,"É... É... Teve o tutorial, né? Mas também... Né? Futucando... Primeiramente, eu acho que eu só mexi depois que o tutorial falou. Ok.","descoberta por tentativa e erro, instruções no painel"
4. Controle e Navegação,20250609_2048,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Não.,gatilhode de fácil localização
5. Radar e Localização de Animais,20250607_1653,Como você definia para onde mover o submarino?,Em direção aos peixes,exploração visual
5. Radar e Localização de Animais,20250607_1653,Como você localizava os animais marinhos?,Pelo brilho na borda deles.,exploração visual
5. Radar e Localização de Animais,20250607_1653,Quando você viu o radar pela primeira vez?,Nem vi se tinha radar.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1653,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?",Nem cheguei a ver.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1728,Como você definia para onde mover o submarino?,Em movimentar os controles.,confusão com elementos do controle
5. Radar e Localização de Animais,20250607_1728,Como você localizava os animais marinhos?,"Uma setinha, né? A setinha do controle.",dificuldade com radar
5. Radar e Localização de Animais,20250607_1728,Quando você viu o radar pela primeira vez?,Eu não vi radar nenhum.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1728,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?",Nem vi o radar.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1903,Como você definia para onde mover o submarino?,"Eu tava meio perdida em relação ao mapa, eu fiquei virando, virando, e aí eu só soube pro lado que eu tava olhando no mapa quando o peixinho ficou colorido, realmente.","dificuldade com radar, tentativa e erro"
5. Radar e Localização de Animais,20250607_1903,Como você localizava os animais marinhos?,"Então... Eu acho que eu tinha que me localizar pelo mapa, mas eu não me dei muito certo com o mapa, então eu fiquei olhando mais para a parte do vidro, do submarino, né, e tentando buscar ele por ali.","dificuldade com radar, exploração visual"
5. Radar e Localização de Animais,20250607_1903,Quando você viu o radar pela primeira vez?,Quando eu falo na orientação. Se perguntou se eu estava vendo o radar.,não relacionado
5. Radar e Localização de Animais,20250607_1903,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?",Sim. Não consegui interpretar corretamente.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1941,Como você definia para onde mover o submarino?,De acordo com o radar e o... E as coisas que estavam no radar no fundo do mar.,uso do radar
5. Radar e Localização de Animais,20250607_1941,Como você localizava os animais marinhos?,No radar.,uso do radar
5. Radar e Localização de Animais,20250607_1941,Quando você viu o radar pela primeira vez?,Assim que foi comunicado. Foi por aí que eu...,"uso do radar, descoberta com ajuda das instruções"
5. Radar e Localização de Animais,20250607_1941,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Não, já tenho contato prévio com esse tipo de radar.","uso do radar, familiaridade prévia"
5. Radar e Localização de Animais,20250607_2206,Como você definia para onde mover o submarino?,Eu tentava me achar pelo mapa pra onde eu ia mesmo.,uso do mapa
5. Radar e Localização de Animais,20250607_2206,Como você localizava os animais marinhos?,Foi a movimentação mesmo. Explorando o ambiente.,exploração visual
5. Radar e Localização de Animais,20250607_2206,Quando você viu o radar pela primeira vez?,"Cara, acho que foi quando... Acho que ele estava instruindo ali no começo.",descoberta com ajuda das instruções
5. Radar e Localização de Animais,20250607_2206,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Sim, bastante. Eu acho que eu não interpretei direito, não.",dificuldade com radar
5. Radar e Localização de Animais,20250608_1448,Como você definia para onde mover o submarino?,"Pelo radar, né? Aquela partezinha coloridinha lá.",uso do radar
5. Radar e Localização de Animais,20250608_1448,Como você localizava os animais marinhos?,Pelo radar.,uso do radar
5. Radar e Localização de Animais,20250608_1448,Quando você viu o radar pela primeira vez?,"Acho que foi desde o começo, quando apareceu ali. Eu vi logo.",uso do radar
5. Radar e Localização de Animais,20250608_1448,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Não, achei bem intuitivo.",uso do radar
