Macrotema,Participante,Pergunta,Resposta,Códigos Iniciais
8. Instruções e compreensão,20250607_2206,Você conseguiu ler as instruções que apareceram no painel?,"Consegui ler. Teve ali só algum momento que eu vi que a instrução não tinha muito a ver com a próxima ação que eu ia fazer, aí eu ignorava. Mas quando eu precisei mesmo ali e era a instrução certa, eu consegui.","sucesso na leitura, instrução aparecendo no momento errado, instrução confusa ou ausente"
8. Instruções e compreensão,20250607_2206,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Que era para curar os animais marinhos.,objetivo: procurar peixinhos
8. Instruções e compreensão,20250607_2206,Como você avaliaria as instruções de como controlar o submarino?,"Cara, não me recordo de ter sido instrução em relação a isso. Foi meio que na intuição, não sei. Pelo menos eu não me lembro da instrução utilizada.",esqueceu da instrução
8. Instruções e compreensão,20250607_2206,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,"Depois que ele me mostrou como fazer isso e tem um exemplo prático dele fazendo, se tornou simples.",instrução das garras compreendida
8. Instruções e compreensão,20250607_2206,O que você achou das orientações para o processo de cura dos animais?,"Ficou claro que eu tinha que fazer, que tinha que acertar o verde e já tinha explicado qual era o botão. Então, ao invés de ser um encontro intuitivo com o botão, achei tranquilo de conseguir pular depois que eu pegava.",instrução de cura compreendida
8. Instruções e compreensão,20250607_2206,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?","Senti quando eu me perdi um pouco, né? Eu acho que poderia ter... Não sei, ou uma dica ou algum reset de câmera que te botasse mais próximo do peixe de novo, assim, porque eu fiquei meio caralho, não sei se eu tô muito perdido, não sei pra onde eu tô, já tava começando a me ficar incomodando, tava achando o peixe brilhante, saca? Então ele embrutou assim na minha tela depois de um tempo, talvez. Aí não sei, é mais deep, mas na minha cabeça, depois de um tempo perdido, seria bom se o peixe meio que aparecesse perto de você, sabe? Porque senão incomoda a gente não estar achando ele.",não relacionado
8. Instruções e compreensão,20250608_1448,O que você achou da voz com as instruções do jogo?,"Tranquila, achei boa",instrução narrada elogiada
8. Instruções e compreensão,20250608_1448,Você conseguiu ler as instruções que apareceram no painel?,"Depende. Às vezes estava muito rápido, apesar de ter a voz. Pra mim, no caso, fica difícil ler e ouvir ao mesmo tempo. E quando eu estava acompanhando a lendo, estava muito rápido.","instrução confusa ou ausente, instrução parcialmente acessível, não dá tempo de ler"
8. Instruções e compreensão,20250608_1448,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Pegar os peixinhos brilhantes e curá-los.,"objetivo: procurar peixinhos, objetivo: salvar os peixes"
8. Instruções e compreensão,20250608_1448,Como você avaliaria as instruções de como controlar o submarino?,"Acho que pode melhorar, porque tem algumas instruções que não estão ali, tipo, iniciar o jogo, talvez também essa questão do radar, acho que pode estar mais visível, não sei se vai ficar desse jeito, talvez botar um brilinho nele assim, tipo, pra destacar bem isso. Acho que poderia ajudar.",não relacionado
8. Instruções e compreensão,20250608_1448,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,Foi tranquilo.,instrução das garras compreendida
8. Instruções e compreensão,20250608_1448,O que você achou das orientações para o processo de cura dos animais?,Também foi okay,instrução de cura compreendida
8. Instruções e compreensão,20250608_1448,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?","Tirando essas que eu falei de início do jogo, do radar, acho que não.","mais explicações para o radar, radar mais visivel, instruções de como iniciar o jogo"
8. Instruções e compreensão,20250608_1520,O que você achou da voz com as instruções do jogo?,"Ah, deu para entender bem, achei bem clara.","instrução narrada elogiada, intrução narrada clara"
8. Instruções e compreensão,20250608_1520,Você conseguiu ler as instruções que apareceram no painel?,"Tive um pouco de dificuldade, porque eu tinha que olhar pra baixo. E... eu esqueci de olhar pra baixo. Aí eu ficava mais pela voz do que pelo escrito. Aí só que às vezes a voz não funciona muito, porque eu esqueço rápido. Então se eu leio, acaba que eu fixo mais, tipo... É diferente. Eu sou melhor lendo do que escutando.","instrução parcialmente acessível, leitura comprometida, esqueceu da instrução"
8. Instruções e compreensão,20250608_1520,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Que eu tive que pegar peixinhos... que tem bordinhas brilhantes.,objetivo: procurar peixinhos
8. Instruções e compreensão,20250608_1520,Como você avaliaria as instruções de como controlar o submarino?,"Ah, achei bem fácil, bem explicativo.",instrução de controle compreendida
8. Instruções e compreensão,20250608_1520,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,"Tipo assim, eu não sei se eu que fui desatenta e não prestei atenção que eu poderia mexer os braços. Mas de início, em algumas horas, eu tinha dificuldade de lembrar que eu podia mexer meus braços. Pra, tipo, pegar o peixe. Porque eu tava mexendo muito como um submarino. E eu não tava... E, tipo, às vezes eu via o peixe, mas, pô, a garra ficava embaixo, porque minha mão tava apoiada no colo. Então eu tava com essa dificuldade de lembrar que eu podia mexer o braço.",mais explicações para as garras
8. Instruções e compreensão,20250608_1520,O que você achou das orientações para o processo de cura dos animais?,Bem claro. É bem clássico esse tipo de joguinho de... De parar na retinha.,instrução de cura compreendida
8. Instruções e compreensão,20250608_1520,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?","Acho que não. Tipo assim, talvez se... É porque eu esqueci mesmo, mas... Não sei. Dica extra não, porque falaram de tudo. Eu que talvez tenha a atenção um pouco mais... Mais comprometida.",sem necessidade de instruções adicionais
8. Instruções e compreensão,20250609_2048,O que você achou da voz com as instruções do jogo?,"Boa, boa. Pareceu um pouco I.A., mas de boa.",instrução narrada elogiada
8. Instruções e compreensão,20250609_2048,Você conseguiu ler as instruções que apareceram no painel?,Sim. Bem.,sucesso na leitura
8. Instruções e compreensão,20250609_2048,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Pegar os peixes. E curar eles.,"objetivo: procurar peixinhos, objetivo: salvar os peixes"
8. Instruções e compreensão,20250609_2048,Como você avaliaria as instruções de como controlar o submarino?,Boa.,instrução de controle compreendida
8. Instruções e compreensão,20250609_2048,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,Achei tranquilo.,instrução das garras compreendida
8. Instruções e compreensão,20250609_2048,O que você achou das orientações para o processo de cura dos animais?,"Ah, bom, também explicou lá que quando eu estivesse no meio do verde que era para... Durante o jogo você.",instrução de cura compreendida
8. Instruções e compreensão,20250609_2048,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?",Acho que não,sem necessidade de instruções adicionais
9. Esforço e dificuldades,20250607_1653,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,No meio do jogo. Foi quando eu entendi mais ou menos como funcionava.,exigência de concentração até a metade do jogo
9. Esforço e dificuldades,20250607_1653,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?",Não.,sem esforço
9. Esforço e dificuldades,20250607_1653,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?",Não,sem desconforto físico
9. Esforço e dificuldades,20250607_1653,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,Não.,sem necessidade de interrupção
9. Esforço e dificuldades,20250607_1728,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,Na hora de capturar o peixinho. Porque quando eu movimentava as garras eu não conseguia.,maior concentração para capturar o peixe
9. Esforço e dificuldades,20250607_1728,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?",Teve. É se concentrar mais nas garras.,maior esforço para mover as garras
9. Esforço e dificuldades,20250607_1728,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?",Não.,sem desconforto físico
9. Esforço e dificuldades,20250607_1728,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,Não.,sem necessidade de interrupção
9. Esforço e dificuldades,20250607_1903,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,"Na parte de procurar o peixe, porque eu não me dei muito bem com o mapa, e de pinçar ele. Justamente por eu não ter entendido o mapa, eu tive que me guiar, né, virando e rodando mais e procurando ele. Eu não consegui me guiar só pelo radarzinho dele, não.","maior concentração para procurar o peixe, maior concentração para entender o mapa"
9. Esforço e dificuldades,20250607_1903,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?",Eu acho que foi justamente a parte do pinçar,maior esforço para capturar o peixe
9. Esforço e dificuldades,20250607_1903,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?",Não.,sem desconforto físico
9. Esforço e dificuldades,20250607_1903,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,Não.,sem necessidade de interrupção
9. Esforço e dificuldades,20250607_1941,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,"Acho que... Eu tava com preocupação de não bater nas coisas, né? Então, acho que essa interação no movimento ali, no submarino, com o radar... Como acabaram colidindo e conseguiu pescar o... pegar o peixe, acho que ficou nesse momento.","maior concentração para entender o mapa, maio concentração para mover o submarino"
9. Esforço e dificuldades,20250607_1941,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?","Sim, porque o controle das garras não ali. Pegar o peixe, acho que... Aconteceu dessa distanciamento ali. E alguns movimentos. Só eu for mais... Deixar a garra parada e me movimentar só... É, não tentar... Criar, né... O braço, mas sim... Ou angulação ali do submarino.",maior esforço para capturar o peixe
9. Esforço e dificuldades,20250607_1941,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?",Não,sem desconforto físico
9. Esforço e dificuldades,20250607_1941,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,Não,sem necessidade de interrupção
9. Esforço e dificuldades,20250607_2206,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,"Cara, quando eu já tava começando a ficar impaciente ali, eu fui, cara, eu preciso me concentrar pra acabar logo, porque eu fiquei muito tempo tentando procurar um peixe. Eu peguei, foi legal, mas depois eu falei, pô... Agora eu tô incomodado, é que eu não tô achando... Não vou achar nunca.","concemtração por impaciência, maior concentração para procurar o peixe"
9. Esforço e dificuldades,20250607_2206,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?","Cara, mais esforço... Esforço... Acho que era... Não, é realmente entender o mapa, foi o mais difícil. Tem que mais se focar.",maior esforço para entender o mapa
9. Esforço e dificuldades,20250607_2206,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?","Cara, senti um pouco de dor de cabeça. Quando eu fiquei não achando o peixe, procurando, acho que me moveu muita tela, assim, porque eu tava procurando de todos os lados. Aí começou a dar uma dor de cabeça, assim.","dor de cabeça, movimentação da tela"
9. Esforço e dificuldades,20250607_2206,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,"Cheguei a cogitar, cheguei a cogitar, tipo... Quando eu não tava achando peixe, eu não sabia se ia demorar muito ainda ou não. Deu tirar um pouquinho ali, dar uma... uma respirada.","congitou interromper, dar uma resperada, tensão"
9. Esforço e dificuldades,20250608_1448,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,No minigame. Porque eu tinha que acertar bem o jeito pra poder curar os animais.,maior concentração para curar o peixe
9. Esforço e dificuldades,20250608_1448,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?","Não. Acho que mais esforço só do minigame mesmo, mas nada muito difícil assim.",maior esforço para currar o peixe
9. Esforço e dificuldades,20250608_1448,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?","Durante o jogo não, mas quando eu tirei o óculos sim. Quando eu tirei o óculos, eu senti um zumbido no ouvido e fiquei tonta.","tontura, zumbido no ouvido"
9. Esforço e dificuldades,20250608_1448,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,Não.,sem necessidade de interrupção
9. Esforço e dificuldades,20250608_1520,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,"O que eu mais me concentrei foi tentar lembrar os botões. Porque eu esquecia que o daqui era o que pegava, aí eu tinha que ficar testando antes de pegar o peixe, sabe? Porque você fazia assim, aí eu via que o daqui, o mais medial, ele... Fechava a garrinha, aí eu lembrava, mas acaba que eu esqueci os botões de vez em quando.",maior esforço para lembrar dos botões
9. Esforço e dificuldades,20250608_1520,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?",Não.,sem dificuldades percebidas
9. Esforço e dificuldades,20250608_1520,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?",Não.,sem desconforto físico
9. Esforço e dificuldades,20250608_1520,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,"Não, eu tava querendo achar os peixinhos.",sem necessidade de interrupção
9. Esforço e dificuldades,20250609_2048,Em quais momentos do jogo você sentiu que precisava se concentrar mais? Por quê?,"Quando começou o jogo mesmo, quando eu tive que correr atrás dos peixes, tava speedrunner, o tentando quebrar recorde. Eu como speedrunner, então eu loquei, 100% locado.",concentrado para zerar o jogo rápido
9. Esforço e dificuldades,20250609_2048,"Teve alguma tarefa que exigiu mais esforço do que você esperava? Se teve, como você agiu?",Não.,sem dificuldades percebidas
9. Esforço e dificuldades,20250609_2048,"Durante o jogo, você sentiu algum desconforto físico como tontura, náusea, dor de cabeça ou visão turva? Pode descrever quando isso aconteceu e como se sentiu?",Não.,sem desconforto físico
9. Esforço e dificuldades,20250609_2048,Você precisou ou pensou em fazer alguma pausa ou pensou em interromper o jogo por conta de desconforto físico? Em que momento e por qual motivo?,Não.,sem necessidade de interrupção
10. Imerção e sentimentos,20250607_1653,"Para você, qual parte foi mais divertida? Por quê?","Ah, foi salvar os peixes. Porque quando eu entendi o jogo, eu vi que tava fazendo uma coisa legal.","engajamento com missão de cuidado, impacto positivo"
10. Imerção e sentimentos,20250607_1653,"Para você, qual parte foi mais surpreendente? Por quê?","Agarrar o o peixe. Ah, porque na hora que eu entendi que eu tinha que pegar ele pra poder curar, eu achei isso muito legal, super maneiro.",Impacto com a mecânica de captura
10. Imerção e sentimentos,20250607_1653,"Para você, qual parte foi mais tediosa? Por quê?","É, teve uma parte que foi tipo assim, até entendi como o peixe ia se salvar, né? Tinha uns outros peixes brilhando também, que dava pra entender que era eles, os branquiçados. Mas aí quando eu entendi que era o que aparecia com aquela auréola em volta.",não relacionado
10. Imerção e sentimentos,20250607_1728,"Para você, qual parte foi mais divertida? Por quê?",É capturar o peixinho.,Diversão na captura
10. Imerção e sentimentos,20250607_1728,"Para você, qual parte foi mais surpreendente? Por quê?",Soltar o peixe. Porque ele tinha que ser solto no mar.,impacto visual positivo
10. Imerção e sentimentos,20250607_1728,"Para você, qual parte foi mais tediosa? Por quê?",Teve. A parte que as tartarugas ficavam na minha frente e eu não conseguia parar o peixe.,não relacionado
10. Imerção e sentimentos,20250607_1903,"Para você, qual parte foi mais divertida? Por quê?","A parte mais divertida foi... Encontrar o peixe. Porque... Justamente por eu estar aflita, né? De não estar me dando bem com o radar. E quando eu finalmente achei, eu falei... Caraca, achei! Então foi a parte divertida de achar ele finalmente.",Diversão na captura
10. Imerção e sentimentos,20250607_1903,"Para você, qual parte foi mais surpreendente? Por quê?","Eu acho que a coisa de estar realmente imerso ali, de você não ver nada ao redor. Caraca, porque eu não imaginava que era assim. Na minha cabeça... Sabe quando você coloca um óculos de sol e você enxerga aqui em cima e aqui embaixo, né? E no jogo, não. Eu realmente só via o fundo do mar. Eu não via mais nada.",surpresa com a imersão
10. Imerção e sentimentos,20250607_1903,"Para você, qual parte foi mais tediosa? Por quê?",Não.,sem partes tediosas
10. Imerção e sentimentos,20250607_1941,"Para você, qual parte foi mais divertida? Por quê?","Acho que movimentar o submarino Pra não colidir e tal, mesmo com as limitações que aconteceram. Eu acho que era um... Acabou sendo um desafio maior assim, eu sei que não era o principal. Mas... Com o objetivo de criar uma imersão maior e ir no jogo, eu acho que... Que isso foi o maior desafio, assim, da geolocalização.",Diversão na busca / navegação
10. Imerção e sentimentos,20250607_1941,"Para você, qual parte foi mais surpreendente? Por quê?","Entender ali o... onde você tá, né? Porque o jogo não se introduz tanto... o ambiente ali, né? São imagens e tal.",não relacionado
10. Imerção e sentimentos,20250607_1941,"Para você, qual parte foi mais tediosa? Por quê?","Não foi tediosa, mas... Tediosa não tev.",sem partes tediosas
10. Imerção e sentimentos,20250607_2206,"Para você, qual parte foi mais divertida? Por quê?","Cara, achei o cenário mesmo, porque a tartaruga, acho que a tartaruga era o peixe mais impactante ali, que está mais perto. Então, eu vi o cenário ali embaixo, os peixes passando, acho que foi a parte mais da hora.",impacto visual positivo
10. Imerção e sentimentos,20250607_2206,"Para você, qual parte foi mais surpreendente? Por quê?","Cara, surpreendente. Acredito que tenha sido também... Acho o gráfico interessante. Surpreendente, assim. Tipo, eu vi ele e falei, pô, admirei, tá ligado? Deu pra admirar os peixinhos ali, a variedade. Acho que esse foi o mais surpreendente mesmo, o gráfico. Eu esperava uma parada mais animação e eu vi que era mais realístico, sabe?",impacto visual positivo
10. Imerção e sentimentos,20250607_2206,"Para você, qual parte foi mais tediosa? Por quê?","Cara, foi achar o peixe ali dentro e meio, achei, e mais pessoas de minigame também, achei meio tedioso, né?","mecânica de cura é tediosa, melhorar a mecânica de cura"
10. Imerção e sentimentos,20250608_1448,"Para você, qual parte foi mais divertida? Por quê?",A do minigame. Porque era a que me exigiu mais concentração e foco.,diversão na cura
10. Imerção e sentimentos,20250608_1448,"Para você, qual parte foi mais surpreendente? Por quê?",O visual. Tinha bem bonito. Principalmente a tartaruguinha ali. Bem bonitinho.,impacto visual positivo
10. Imerção e sentimentos,20250608_1448,"Para você, qual parte foi mais tediosa? Por quê?",Não teve. É bem tranquilo. A experiência dele é bonitinha.,sem partes tediosas
10. Imerção e sentimentos,20250608_1520,"Para você, qual parte foi mais divertida? Por quê?","É porque de início é muito maneiro, você vê tudo e vê que você controla a coisa, mas literalmente levantar a mão e pegar o peixe, eu achei a parte mais legal. Porque como eu disse, é tipo, poder... Quando você mexe o braço também acaba que você entra mais no jogo do que só com óculos. Porque só com óculos é como se você estivesse com controle normal. E só olhando mesmo. Mas quando você tem controle que também meio que te insere mais ainda no jogo, entendeu?","Diversão na captura, surpresa com a imersão"
10. Imerção e sentimentos,20250608_1520,"Para você, qual parte foi mais surpreendente? Por quê?",Eu mexer com a garrinha só com os meus braços.,"surpresa com o controle da garra, surpresa com a imersão"
10. Imerção e sentimentos,20250608_1520,"Para você, qual parte foi mais tediosa? Por quê?",Foi o joguinho de cura assim que foi bem.,mecânica de cura é tediosa
10. Imerção e sentimentos,20250609_2048,"Para você, qual parte foi mais divertida? Por quê?","Eu acho que... navegar pelo mar com o negócio. Porque é legal, né? É divertido mexer. É como se fosse um helicópto né, também Essas coisas igual Drone, Drone. Voar é legal, tipo É maneiro, né? É simulação de algo que eu não tinha simulado antes, né? É real.","experiência divertida, Diversão na busca / navegação"
10. Imerção e sentimentos,20250609_2048,"Para você, qual parte foi mais surpreendente? Por quê?","Polimento Tá muito bem polido o jogo, muito... Sabe? Sem bug, funciona como esperado.",impacto visual positivo
10. Imerção e sentimentos,20250609_2048,"Para você, qual parte foi mais tediosa? Por quê?",Não teve.,sem partes tediosas
11. Contribuições finais,20250607_1653,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","Seria as explicações para como segurar o peixe, como cuidar do peixe. Entendi.","melhorarar explicações de captura, melhorarar explicações de cura"
11. Contribuições finais,20250607_1653,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?","Ah, pela experiência que eu tive pela primeira vez jogando algo em realidade virtual, foi uma sensação maravilhosa.","experiência inédita mencionada, elogio geral ao jogo"
11. Contribuições finais,20250607_1728,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?",A movimentação das garras.,crítica à mecânica de captura
11. Contribuições finais,20250607_1728,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?","Sim, mais explicação.",sugestão de mais instruções
11. Contribuições finais,20250607_1903,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","Eu acho que eu colocaria mais uma etapa ou mudaria essa parte do verdinho para uma outra coisa. Etapa, por exemplo, é... Peguei o peixe, e aí fazer alguma coisa com ele, que não fosse dar algum negocinho na barrinha verde, ou ser a barrinha verde mais uma coisa, porque acaba que foi muito rápido. E aí fica a situação de querer mais alguma coisa. Acho que se tivesse mais uma coisa além daquela barrinha verde, acho que seria interessante.","melhoria  na mecânica de cura, dimunuir distênciamento entre objetivo e mecânica na cura, melhorar os feedbacks"
11. Contribuições finais,20250607_1903,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?",Não.,sem comentário adicional
11. Contribuições finais,20250607_1941,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","Eu acho que a sugestão da movimentação desse eixo a mais. E trazer um pouco mais da realidade, assim, tipo... Talvez transportar o peixe pra algum lugar, ou... Algo assim, né? Tipo... A ideia é de que... Ou você tá ajudando ele que ele seja curado, que de fato você pratica uma ação pra... Fazer aquele peixe ali melhor.","crítica à mecânica de controle, melhoria  na mecânica de cura, dimunuir distênciamento entre objetivo e mecânica na cura"
11. Contribuições finais,20250607_1941,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?","Acho que não, acho que foi tudo abordado. Show.",sem comentário adicional
11. Contribuições finais,20250607_2206,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","Cara, primeiro eu acho que eu melhoraria ali... Os peixes assim, por exemplo, os peixes que apareciam brilhantes pra mim eram os peixes secundários, parecia a tartaruga no momento, que era o peixe mais impactante. Todo mundo queria pegar a tartaruga, entendeu? Eu vi que tava mais ali na frente. Aí apareceu o peixinho que nem nem brilhoso ali e depois sumiu o brilho, sabe? Então eu acho que se... Talvez botasse peixe mais impactante pra essas brilhosas, já chamou mais atenção no seu olho, já vai pro peixe mais impactante aí, já tá brilhando ali. Pelo menos alguns. E eu acho que se você estiver muito perdido no jogo, acho que ele poderia, como é um jogo recreativo na minha cabeça, ele poderia começar a facilitar. Então se você ficou muito tempo sem achar o peixe, talvez ele apareça mais em destaque na sua tela ali, pra você já avançar as fases, ter um feedback positivo ali. Eu acredito que o minigame também ali, não encaixou muito esse minigame com o curar. Pois não da para saber que o peixe está doente e seria bacana ter um feedback que você está ajudando o peixe a melhorar.","melhorarar a mecênica de captura, melhoria  na mecânica de identificação do animal marinho, melhoria no radar, melhorar os feedbacks"
11. Contribuições finais,20250607_2206,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?","Cara, acho que... Não, o jogo foi maneiro. Achei... Achei o gráfico bom, assim, a ideia boa. Acho que tem alguns detalhezinhos só ali que eu não entendi muito bem do jogo. Que coisa é essa mais clara? De UX mesmo, imagina, hein? Ah... Acho que ficaria maneiro pra um recreativo ali, pra... Pra uma criança, imagina eu.","sem comentário adicional, elogio geral ao jogo"
11. Contribuições finais,20250608_1448,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","As coisas que eu falei anteriormente. Eu botaria instruções como começar o jogo, porque fui apertando todos os botões até descobrir qual é. Eu talvez botaria mais tempo para a instrução escrita, deixaria um pouco mais de tempo. Principalmente quando ele tá explicando quando será curar o peixe. Se tem um texto grande, depois troca pra outro. Também teve uma parte que, quando você cura o peixe, a instrução ainda fica ali e não tem nenhuma notificação que a tarefa foi concluída. Acho que talvez um tipo, ah, sei lá, tarefa concluída, alguma coisa assim, ajude, porque eu escrevi tipo, ah, e agora? Será que acabou? Será que não acabou? E a instrução ficava embaixo ainda. Não era a instrução pro próximo passo, era a instrução da cura. Também o radar. Eu acho que, principalmente quando ele fala do radar, localizar onde tá com brilhinho ou qualquer coisa, e melhorar essa percepção do que é a frente e a trás do submarino.","tentativa e erro para iniciar o jogo, problema na leitura das intruções, falta de feedback, melhorar a mecânica do radar"
11. Contribuições finais,20250608_1448,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?",Não.,sem comentário adicional
11. Contribuições finais,20250608_1520,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","Só colocar uma tarefa de cura mais diferente, ou mais dificilzinha, mais rápida, com mais dificuldade, sei lá, com a velocidade aumentando e diminuindo ao longo da... da retinha, porque era muito fácil de salvar o peixe.","mecânica de cura é tediosa, melhorar a mecânica de cura"
11. Contribuições finais,20250608_1520,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?",Joguinho divertido!,elogio geral ao jogo
11. Contribuições finais,20250609_2048,"Se você pudesse mudar ou melhorar qualquer parte do jogo, o que seria? Por quê?","Ah... A parte de pegar o peixe talvez, é um pouco mágica, tipo você aperta lá e o peixe meio aparece ali no meio, mas não sei muito como ele é, talvez uma rede, sei lá, eu não sei. Mas enfim, talvez deixar mais realista, né. Acho que a parte quando tá mostrando os tutoriais. Eu acho que talvez, se você não estiver olhando pra lá, ter tipo uma setinha assim embaixo, tipo, olha pra lá, tá ligado? Onde você tem que estar olhando agora pro tutorial. Não tipo, ó, ali embaixo, ali, ali. Tipo, uma seta mesmo assim, não é visão, só seta 3D.","melhorar a mecânica de cura, problema na leitura das intruções"
11. Contribuições finais,20250609_2048,"Gostaria de deixar algum outro comentário, sugestão ou impressão que não foi abordada nas perguntas anteriores?",Duvido alguém bater meu recorde.,não relacionado