Tema,Códigos Iniciais Agrupados,Descrição do Tema
Fácil compreensão do ambiente e elementos visuais,"ambiente compreendido, fauna marinha como indicador, submarino como indicador, mar como indicador, elementos de náufragio como indicador, baia de guanabara, cor como identificador","Os participantes demonstraram reconhecer o ambiente subaquático por meio de elementos como a fauna marinha, o submarino e a referência à Baía de Guanabara. A identificação do cenário foi facilitada por cores, sons e estruturas visuais submersas."
Percepções mojoritariamente positivas nas reações à experiência,"experiência nova, experiência positiva, experiência divertida, experiência confusa, tédio","As respostas indicam um conjunto de reações iniciais mistas, incluindo surpresa, novidade, confusão e entusiasmo. A maior parte das pessoas considerou a experiência positiva ou divertida, especialmente pela novidade do VR."
Sensação de imersão,"imersão, atenção aos elementos visuais, atenção aos controles, qualidade do jogo","Muitos participantes relataram sensação de presença no ambiente do jogo, atribuindo isso à resposta dos controles, ao envolvimento visual e à percepção de estarem dentro do cenário."
Percepção positiva da trilha sonora e efeitos sonoros,"trilha sonora coerente, sincronia do som, sensação de relaxamento, sensação de desconforto, trilha sonora repetitiva","Os sons e músicas de fundo foram percebidos majoritariamente como coerentes com o ambiente aquático, gerando sensações de tranquilidade e relaxamento. Alguns relatos apontaram repetição ou incômodo em momentos específicos."
Aprendizado do controle guiado por instruções e experimentação prática,"descoberta por tentativa e erro, instruções no painel, entendimento por instrução, tutorial narrado","Participantes relataram ter aprendido a mover o submarino por meio de tentativa e erro, instruções no painel ou orientação narrada. Esses métodos auxiliaram na identificação dos botões e na compreensão inicial da navegação."
Confusão durante o controle do submarino,"confusão ou dificuldade, dificuldade com o radar, problema com emergir e submergir, problema para inicar o jogo","Foram registradas dificuldades para entender o movimento do submarino, identificar sua orientação ou controlar a profundidade. A confusão também se estendeu à integração com o radar e ao momento de iniciar o jogo."
Os controles respondem bem,"controle positivo, intuitivo, experiência prévia, experiência positiva","Alguns participantes relataram respostas satisfatórias dos controles e facilidade em mover o submarino, associando isso a experiências anteriores ou à intuição ao lidar com o joystick."
Fácil identificação tátil dos botões,"gatilho perdido e recuperado, gatilhode de fácil localização","Em certos momentos, os jogadores mencionaram ter perdido temporariamente o botão de movimentação ou a função da garra, mas conseguiram recuperá-lo por exploração tátil ou memória."
Problemas e limitações com as garras,"faltou controles, problema com as garras","Alguns participantes mencionaram limitações percebidas no controle, como ausência de determinados eixos de movimento ou dificuldade na captura, indicando oportunidades de melhoria na sensibilidade ou design do sistema de navegação."
Dificuldade na interpretação do radar,"dificuldade com radar, dificuldade inicial com radar, exploração visual",Agrupam-se aqui os relatos de participantes que não conseguiram localizar ou interpretar o radar corretamente. Muitos sequer notaram sua presença ou entenderam sua funcionalidade durante o jogo.
Navegação com radar por familiaridade ou experimentação,"uso do radar, familiaridade prévia, descoberta com ajuda das instruções","Participantes relataram uso consistente do radar para se orientar e localizar os animais marinhos. O recurso foi percebido como útil e em alguns casos familiar, sendo utilizado desde o início da experiência."
Exploração visual como estratégia alternativa a falta do radar,exploração visual,"Alguns participantes, independentemente de terem usado o radar, mencionaram utilizar pistas visuais no ambiente, como brilho ou janelas do submarino, para localizar os animais."
Localização espacial por tentativa e erro,tentativa e erro,"Foram registrados relatos de jogadores que buscaram entender a orientação e localização dos peixes a partir da experimentação contínua durante o jogo, especialmente em momentos de dúvida."
Aprendeu a usar por meio de instruções ou tentativa e erro,"descoberta por tentativa e erro, descoberta por instrução",Participantes descobriram o gatilho de controle principalmente por tentativa e erro ou por instruções visuais/narradas. Essa descoberta influenciou diretamente na fluidez da experiência inicial.
A mecênica de captura é vista pela maioria como positiva,"experiência positiva, experiência difícil","As respostas indicam que a maioria dos participantes teve uma experiência positiva ao capturar os animais, embora alguns tenham relatado dificuldades. A facilidade foi associada à clareza do controle e à sensação de sucesso."
Dificuldades relacionadas à distância e à precisão das garras,"problema com a noção de distância entre a garra e o peixe, dificuldade na ação de captura","Vários participantes relataram dificuldade em entender a distância correta entre a garra e o peixe, resultando em falhas na captura. Isso afetou a precisão e causou frustração em alguns casos."
Fechamento da garra guiado por visão e intuição,"fechamento baseado em pista visual, fechamento por intuição","Os participantes utilizaram pistas visuais, como brilho ou proximidade, bem como sua intuição para decidir quando fechar a garra e realizar a captura."
Facilidade em localizar o botão de acionamento das garras,"gatilho de fácil localização, gatilho perdido, abir e fechar sem dificuldade","Enquanto alguns participantes perderam momentaneamente o controle de captura, a maioria relatou facilidade em localizar e acionar o gatilho durante o jogo."
Compreensão da tarefa e do objetivo de cura,"compreensão da mecânica de cura, compreensão do objetivo, confusão inicial sobre o que fazer, não compreendeu o objetivo","Participantes demonstraram diferentes níveis de compreensão sobre o que era necessário fazer após a captura do animal marinho. Enquanto alguns compreenderam o objetivo de cura e a mecânica envolvida, outros não entenderam a finalidade da ação."
"Os participantes recorreram à experimentação, percepção intuitiva e reflexo para atingir a zona verde com precisão","reação ao feedback visual, tentativa e erro, ação por intuição","Durante o minigame de cura, os participantes relataram estratégias variadas para acertar a zona verde, como resposta ao estímulo visual, tentativa e erro ou decisões baseadas em intuição."
"A localização do botão responsável por parar o ponteiro foi, em sua maioria, facilitada pelo tutorial",identificação via instrução,"Grande parte dos participantes indicou que reconheceu o botão responsável por parar o ponteiro com base nas instruções do jogo, embora outros tenham mencionado o uso de tentativa ou descoberta intuitiva."
Vivências emocionais contrastantes,"sensação positiva no minigame, sensação negativa no minigame, sensação negativa inicial no minigame, ação tediosa","As respostas mostram uma variedade de sentimentos relacionados ao minigame, desde satisfação e tranquilidade até confusão, tédio e sensação de repetição. Alguns relataram mudanças de percepção ao longo da experiência."
Percepção de desconexão entre ação e propósito,"distânciamento entre objetivo e mecânica, falta de recompensa, ausência de vínculo emocional, sensação de cuidar dos animais",Participantes relataram uma distância entre a tarefa de acertar a zona verde e o real sentido de curar os animais. A ausência de feedback ou recompensa foi apontada como fator limitante na construção de sentido.
Facilidade em localizar o botão de parada do cursor no joystick,"gatilho perdido, gatilho mantido","A maioria dos participantes manteve o controle do botão de ação ao longo do minigame, embora alguns tenham perdido momentaneamente o comando no início da experiência."
Compreensão do objetivo do jogo desde o início da experiência,"objetivo: salvar os peixes, objetivo: procurar peixinhos","A maioria dos participantes relatou ter compreendido que o objetivo do jogo era salvar ou curar os peixes, com ou sem o uso de linguagem simbólica. A ação central foi assimilada a partir das instruções iniciais."
Percepção positiva da instrução narrada,"instrução narrada elogiada, intrução narrada clara, instrução narrada poderia ser mais direta","A voz responsável pelas instruções foi majoritariamente bem avaliada, sendo descrita como clara, compreensível e útil. No entanto, alguns participantes sugeriram que poderia ser mais direta ou adaptada a iniciantes."
A legibilidade do painel pode estar comprometida,"leitura comprometida, instrução parcialmente acessível, não dá tempo de ler, sucesso na leitura",Houve diferentes níveis de sucesso na leitura das instruções visuais. Alguns participantes relataram leitura comprometida ou dificuldade por tempo curto ou posição do painel. Outros afirmaram ter conseguido ler e compreender.
Compreensão das instruções de controle e garras,"instrução de controle compreendida, instrução confusa ou ausente, instrução das garras compreendida, esqueceu da instrução, mais explicações para as garras","As instruções relacionadas ao controle do submarino e ao uso das garras foram compreendidas por alguns participantes, mas outros relataram confusão, ausência de instrução, ou esqueceram o conteúdo. Alguns pediram reforço explicativo."
Compreensão das instruções de cura,"instrução de cura compreendida, mais explicações para a cura","As instruções para o processo de cura foram em geral bem assimiladas, com alguns participantes pedindo mais explicações sobre a lógica da tarefa, especialmente o propósito de acertar o ponteiro na zona verde."
Demanda por instruções complementares,"mais explicações para o radar, radar mais visivel, instruções de como iniciar o jogo, instrução insuficiente, sem necessidade de instruções adicionais, nada para acrescentar","Alguns participantes indicaram necessidade de instruções adicionais, como explicações sobre o radar, início do jogo ou reforço visual. Outros afirmaram não sentir falta de instruções extras."
Problemas de sincronização das instruções,instrução aparecendo no momento errado,"Um participante mencionou que algumas instruções apareciam em momentos que não correspondiam à tarefa atual, dificultando o uso adequado da informação."
O jogo exige que o usuário se concentre para executar as tarefas,"exigência de concentração até a metade do jogo, maior concentração para capturar o peixe, maior concentração para procurar o peixe, maior concentração para entender o mapa, maio concentração para mover o submarino, maior concentração para curar o peixe, maior esforço para lembrar dos botões, concemtração por impaciência","Os participantes relataram precisar de mais foco em tarefas como capturar ou procurar peixes, controlar o submarino, curar os animais ou lidar com frustração. Isso mostra que a carga cognitiva variava conforme o desafio enfrentado."
As tarefas relacionadas ao radar e à captura foram percebidas como as mais desafiadoras pelos usuários,"maior esforço para mover as garras, maior esforço para capturar o peixe, maior esforço para entender o mapa, maior esforço para currar o peixe","Alguns participantes relataram que certas tarefas exigiram mais esforço do que imaginavam, como mover as garras, capturar peixes, curar os peixes ou interpretar o mapa."
Somente 2 usuários sentiram algum desconforto,"dor de cabeça, tontura, zumbido no ouvido, sem desconforto físico","Embora a maioria tenha relatado não ter desconforto físico, alguns participantes citaram sintomas como dor de cabeça, tontura, zumbido no ouvido ou desconforto visual relacionado à movimentação da tela."
Sem necessidade de pausas por desconforto,"congitou interromper, dar uma resperada, tensão, sem necessidade de interrupção","Enquanto alguns participantes mencionaram vontade de pausar o jogo por frustração ou desconforto, a maioria relatou não ter sentido necessidade de interromper a experiência."
Imersão e presença no ambiente virtual,"surpresa com a imersão, surpresa com o controle da garra","Diversos participantes relataram surpresa ao perceberem o nível de imersão proporcionado pelo jogo. O fato de não verem o mundo externo, a movimentação corporal com os controles e a interação direta com os elementos virtuais contribuiu para o sentimento de presença."
Engajamento com missão de cuidado,"engajamento com missão de cuidado, impacto positivo","Alguns jogadores demonstraram envolvimento afetivo com a proposta do jogo, especialmente na cura dos peixes. Relataram satisfação e significado positivo ao compreender que estavam ajudando ou cuidando de algo."
Impacto visual e estético positivo,impacto visual positivo,"Participantes destacaram a beleza dos gráficos, o realismo do ambiente submarino e o cuidado visual com os animais. Esse impacto estético gerou admiração, surpresa e encantamento durante a experiência."
Momentos de diversão associados a ações específicas,"Diversão na captura, Diversão na busca / navegação, diversão na cura, experiência divertida","A diversão foi associada principalmente a capturar peixes, buscar ou navegar com o submarino e realizar o minigame de cura. Essas ações geraram envolvimento, desafio e sensação de recompensa."
Tédio relacionado ao minigame de cura,"mecânica de cura é tediosa, melhorar a mecânica de cura",Alguns participantes identificaram o minigame de cura como repetitivo ou menos envolvente. Isso gerou respostas que associam essa parte do jogo a sensações de tédio ou desinteresse.
Sugestões para melhorar instruções e feedback,"tentativa e erro para iniciar o jogo, problema na leitura das intruções, falta de feedback, sugestão de mais instruções","Vários participantes sugeriram melhorias nas instruções, como tornar mais claro como iniciar o jogo, interpretar os textos exibidos e indicar o término de tarefas. Também foi apontada a importância de sinais visuais ou de confirmação após certas ações."
Aprimoramentos na mecânica de captura e cura,"melhorarar explicações de captura, melhorarar explicações de cura, crítica à mecânica de captura, melhorarar a mecênica de captura, melhoria  na mecânica de cura, mecânica de cura é tediosa, melhorar a mecânica de cura, dimunuir distênciamento entre objetivo e mecânica na cura, melhoria  na mecânica de identificação do animal marinho","Alguns participantes propuseram ajustes na movimentação das garras e torná-la mais realista, além de tornar o minigame de cura mais desafiador ou significativo. Também foram sugeridas ações adicionais após a captura ou formas mais claras de representar a cura dos peixes."
Melhorias na mecânica de navegação e radar,"melhoria no radar, melhorar a mecânica do radar","Alguns participantes apontaram limitações no radar e na orientação espacial, como dificuldade em entender a frente e o verso do submarino. Foram sugeridas melhorias para tornar o radar mais intuitivo e a navegação mais clara."
Reconhecimento positivo da experiência,"elogio geral ao jogo, experiência inédita mencionada","Participantes elogiaram o jogo como um todo, destacando os gráficos, a proposta e a experiência geral, especialmente entre quem jogava realidade virtual pela primeira vez."